date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.149608+00:00,440002,WEST TENNESSEE HEALTHCARE JACKSON-MADISON COUNTY GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440002.jsonl,2,,,0.03
2026-09-03T03:12:40.149608+00:00,440003,HIGHPOINT HEALTH - SUMNER WITH ASCENSION SAINT THOMAS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440003.jsonl,,,,0.02
2026-09-03T03:12:40.149608+00:00,440006,TRISTAR SKYLINE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440006.jsonl,2,,,0.12
2026-09-03T03:12:40.149608+00:00,440007,UNITY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440007.jsonl,,,,0.01
2026-09-03T03:12:40.149608+00:00,440008,HENDERSON COUNTY COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440008.jsonl,,,,0.00
2026-09-03T03:12:40.149608+00:00,440009,CUMBERLAND MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440009.jsonl,2,,,0.08
2026-09-03T03:12:40.149608+00:00,440010,WAYNE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440010.jsonl,,,,0.01
2026-09-03T03:12:40.149608+00:00,440011,PRISMA HEALTH BLOUNT MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440011.jsonl,,,,0.08
2026-09-03T03:12:40.149608+00:00,440012,BRISTOL REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440012.jsonl,,,,0.03
2026-09-03T03:12:40.149608+00:00,440015,THE UNIVERSITY OF TENNESSEE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440015.jsonl,2,,,0.02
2026-09-03T03:12:40.149608+00:00,440016,BAPTIST MEMORIAL HOSPITAL - CARROLL COUNTY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440016.jsonl,,,,0.05
2026-09-03T03:12:40.149608+00:00,440017,HOLSTON VALLEY MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440017.jsonl,,,,0.03
2026-09-03T03:12:40.149608+00:00,440018,SYCAMORE SHOALS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\TN\440018.jsonl,,,,0.02
