date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.146095+00:00,100001,UF HEALTH JACKSONVILLE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100001.jsonl,2,,,0.02
2026-09-03T03:12:40.146095+00:00,100002,BETHESDA HOSPITAL EAST,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100002.jsonl,2,,,0.03
2026-09-03T03:12:40.146095+00:00,100006,ORLANDO HEALTH REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100006.jsonl,2,,,0.03
2026-09-03T03:12:40.146095+00:00,100007,ADVENTHEALTH ORLANDO,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100007.jsonl,2,,,0.03
2026-09-03T03:12:40.146095+00:00,100008,BAPTIST HOSPITAL OF MIAMI,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100008.jsonl,2,,,0.04
2026-09-03T03:12:40.146095+00:00,100012,LEE MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100012.jsonl,,,,0.08
2026-09-03T03:12:40.146095+00:00,100014,ADVENTHEALTH NEW SMYRNA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100014.jsonl,2,,,0.03
2026-09-03T03:12:40.146095+00:00,100015,HCA FLORIDA LARGO WEST HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100015.jsonl,2,,,0.07
2026-09-03T03:12:40.146095+00:00,100017,HALIFAX HEALTH MEDICAL CENTER OF DAYTONA BEACH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100017.jsonl,2,,,0.10
2026-09-03T03:12:40.146095+00:00,100018,NCH BAKER DOWNTOWN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100018.jsonl,2,,,0.02
2026-09-03T03:12:40.146095+00:00,100019,HOLMES REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100019.jsonl,,,,0.02
2026-09-03T03:12:40.146095+00:00,100022,JACKSON MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100022.jsonl,,,,0.02
2026-09-03T03:12:40.146095+00:00,100023,HCA FLORIDA CITRUS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100023.jsonl,2,,,0.09
2026-09-03T03:12:40.146095+00:00,100026,ASCENSION SACRED HEART BAY,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100026.jsonl,2,,,0.05
2026-09-03T03:12:40.146095+00:00,100028,PARRISH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100028.jsonl,,,,0.02
2026-09-03T03:12:40.146095+00:00,100029,NORTH SHORE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100029.jsonl,,,,0.02
2026-09-03T03:12:40.146095+00:00,100030,ORLANDO HEALTH HEALTH CENTRAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100030.jsonl,2,,,0.06
2026-09-03T03:12:40.146095+00:00,100032,ORLANDO HEALTH BAYFRONT HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100032.jsonl,2,,,0.03
2026-09-03T03:12:40.146095+00:00,100034,MOUNT SINAI MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100034.jsonl,,,,0.04
2026-09-03T03:12:40.146095+00:00,100035,MANATEE HEALTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100035.jsonl,,,,0.02
2026-09-03T03:12:40.146095+00:00,100038,MEMORIAL REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100038.jsonl,1,,,0.01
2026-09-03T03:12:40.146095+00:00,100039,BROWARD HEALTH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100039.jsonl,,,,0.01
2026-09-03T03:12:40.146095+00:00,100040,ASCENSION ST. VINCENT'S RIVERSIDE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100040.jsonl,,,,0.02
2026-09-03T03:12:40.146095+00:00,100043,MEASE DUNEDIN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100043.jsonl,,,,0.02
2026-09-03T03:12:40.146095+00:00,100046,ADVENTHEALTH ZEPHYRHILLS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100046.jsonl,2,,,0.03
2026-09-03T03:12:40.146095+00:00,100049,HCA FLORIDA HIGHLANDS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100049.jsonl,2,,,0.09
2026-09-03T03:12:40.146095+00:00,100050,LARKIN COMMUNITY HOSPITAL PALM SPRINGS CAMPUS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100050.jsonl,,,,0.01
2026-09-03T03:12:40.146095+00:00,100051,ORLANDO HEALTH SOUTH LAKE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100051.jsonl,2,,,0.03
2026-09-03T03:12:40.146095+00:00,100052,WINTER HAVEN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100052.jsonl,2,,,0.03
2026-09-03T03:12:40.146095+00:00,100053,HIALEAH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100053.jsonl,,,,0.02
2026-09-03T03:12:40.146095+00:00,100054,HCA FLORIDA TWIN CITIES HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100054.jsonl,2,,,0.09
2026-09-03T03:12:40.146095+00:00,100055,ADVENTHEALTH NORTH PINELLAS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100055.jsonl,,,,0.03
2026-09-03T03:12:40.146095+00:00,100057,ADVENTHEALTH WATERMAN,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100057.jsonl,2,,,0.03
2026-09-03T03:12:40.146095+00:00,100062,ADVENTHEALTH OCALA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100062.jsonl,2,,,0.06
2026-09-03T03:12:40.146095+00:00,100063,MORTON PLANT NORTH BAY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100063.jsonl,,,,0.04
2026-09-03T03:12:40.146095+00:00,100067,BAYCARE ST ANTHONYS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100067.jsonl,2,,,0.03
2026-09-03T03:12:40.146095+00:00,100068,ADVENTHEALTH DAYTONA BEACH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100068.jsonl,2,,,0.03
2026-09-03T03:12:40.146095+00:00,100069,ADVENTHEALTH CARROLLWOOD,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100069.jsonl,2,,,0.07
2026-09-03T03:12:40.146095+00:00,100071,TAMPA GENERAL HOSPITAL BROOKSVILLE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100071.jsonl,,,,0.00
2026-09-03T03:12:40.146095+00:00,100072,ADVENTHEALTH FISH MEMORIAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100072.jsonl,2,,,0.06
2026-09-03T03:12:40.146095+00:00,100073,HOLY CROSS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100073.jsonl,2,,,0.02
2026-09-03T03:12:40.146095+00:00,100075,ST JOSEPH'S HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100075.jsonl,2,,,0.05
2026-09-03T03:12:40.146095+00:00,100077,ADVENTHEALTH PORT CHARLOTTE,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100077.jsonl,,,,0.07
2026-09-03T03:12:40.147096+00:00,100079,UHEALTH TOWER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100079.jsonl,2,,,0.02
2026-09-03T03:12:40.147096+00:00,100080,HCA FLORIDA JFK HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100080.jsonl,2,,,0.09
2026-09-03T03:12:40.147096+00:00,100084,UF HEALTH LEESBURG HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100084.jsonl,2,,,0.04
2026-09-03T03:12:40.147096+00:00,100086,BROWARD HEALTH NORTH,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100086.jsonl,,,,0.02
2026-09-03T03:12:40.147096+00:00,100087,SARASOTA MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100087.jsonl,2,,,0.02
2026-09-03T03:12:40.147096+00:00,100088,BAPTIST MEDICAL CENTER JACKSONVILLE,SKIPPED,https://baptist-health.box.com/s/vzj6l5oy331dhnx5jzk9sla3vgkjgrby,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100088.jsonl,
2026-09-03T03:12:40.147096+00:00,100090,UF HEALTH ST. JOHNS,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100090.jsonl,,,,0.02
2026-09-03T03:12:40.147096+00:00,100093,BAPTIST HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100093.jsonl,2,,,0.05
2026-09-03T03:12:40.147096+00:00,100105,CLEVELAND CLINIC INDIAN RIVER HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100105.jsonl,2,,,0.03
2026-09-03T03:12:40.147096+00:00,100107,HCA FLORIDA LEHIGH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100107.jsonl,2,,,0.08
2026-09-03T03:12:40.147096+00:00,100109,ADVENTHEALTH SEBRING,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100109.jsonl,2,,,0.03
2026-09-03T03:12:40.147096+00:00,100110,HCA FLORIDA OSCEOLA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100110.jsonl,2,,,0.09
2026-09-03T03:12:40.147096+00:00,100113,UF HEALTH SHANDS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100113.jsonl,2,,,0.03
2026-09-03T03:12:40.147096+00:00,100114,JACKSON NORTH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100114.jsonl,,,,0.01
2026-09-03T03:12:40.147096+00:00,100117,BAPTIST MEDICAL CENTER - BEACHES,SKIPPED,https://baptist-health.box.com/s/4du6gx7x9qr05xj7n3gunu2776ngz9j1,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100117.jsonl,
2026-09-03T03:12:40.147096+00:00,100118,ADVENTHEALTH PALM COAST,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100118.jsonl,2,,,0.05
2026-09-03T03:12:40.147096+00:00,100121,BARTOW REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100121.jsonl,,,,0.02
2026-09-03T03:12:40.147096+00:00,100122,NORTH OKALOOSA MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100122.jsonl,,,,0.01
2026-09-03T03:12:40.147096+00:00,100124,SANTA ROSA MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100124.jsonl,,,,0.01
2026-09-03T03:12:40.147096+00:00,100125,HOMESTEAD HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100125.jsonl,2,,,0.02
2026-09-03T03:12:40.147096+00:00,100126,HCA FLORIDA PASADENA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100126.jsonl,2,,,0.12
2026-09-03T03:12:40.147096+00:00,100127,MORTON PLANT HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100127.jsonl,2,,,0.02
2026-09-03T03:12:40.147096+00:00,100128,TAMPA GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100128.jsonl,2,,,0.04
2026-09-03T03:12:40.147096+00:00,100130,LAKESIDE MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100130.jsonl,2,,,0.11
2026-09-03T03:12:40.147096+00:00,100131,HCA FLORIDA AVENTURA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100131.jsonl,2,,,0.09
2026-09-03T03:12:40.147096+00:00,100132,SOUTH FLORIDA BAPTIST HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100132.jsonl,,,,0.02
2026-09-03T03:12:40.147096+00:00,100135,TALLAHASSEE MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100135.jsonl,2,,,0.02
2026-09-03T03:12:40.147096+00:00,100137,ADVENTHEALTH HEART OF FLORIDA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100137.jsonl,2,,,0.03
2026-09-03T03:12:40.147096+00:00,100140,BAPTIST MEDICAL CENTER - NASSAU,SKIPPED,https://baptist-health.box.com/s/lmsic18vnv2pmzpxza2flxre1rprmdf5,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100140.jsonl,
2026-09-03T03:12:40.147096+00:00,100142,JACKSON HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100142.jsonl,,,,0.01
2026-09-03T03:12:40.147096+00:00,100150,LOWER KEYS MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100150.jsonl,,,,0.09
2026-09-03T03:12:40.147096+00:00,100151,MAYO CLINIC FLORIDA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100151.jsonl,,,,0.02
2026-09-03T03:12:40.147096+00:00,100154,SOUTH MIAMI HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100154.jsonl,2,,,0.08
2026-09-03T03:12:40.147096+00:00,100156,HCA FLORIDA LAKE CITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100156.jsonl,2,,,0.08
2026-09-03T03:12:40.147096+00:00,100157,LAKELAND REGIONAL MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100157.jsonl,,,,0.04
2026-09-03T03:12:40.147096+00:00,100161,HCA FLORIDA LAKE MONROE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100161.jsonl,2,,,0.09
2026-09-03T03:12:40.147096+00:00,100166,HCA FLORIDA SARASOTA DOCTORS HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100166.jsonl,2,,,0.09
2026-09-03T03:12:40.147096+00:00,100167,HCA FLORIDA MERCY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100167.jsonl,2,,,0.14
2026-09-03T03:12:40.147096+00:00,100168,BOCA RATON REGIONAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100168.jsonl,2,,,0.07
2026-09-03T03:12:40.147096+00:00,100173,ADVENTHEALTH TAMPA,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100173.jsonl,2,,,0.06
2026-09-03T03:12:40.147096+00:00,100175,DESOTO MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100175.jsonl,,,,0.01
2026-09-03T03:12:40.147096+00:00,100176,PALM BEACH GARDENS MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100176.jsonl,2,,,0.11
2026-09-03T03:12:40.147096+00:00,100177,CAPE CANAVERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100177.jsonl,,,,0.09
2026-09-03T03:12:40.147096+00:00,100179,HCA FLORIDA MEMORIAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100179.jsonl,2,,,0.09
2026-09-03T03:12:40.147096+00:00,100180,HCA FLORIDA ST. PETERSBURG HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100180.jsonl,2,,,0.14
2026-09-03T03:12:40.147096+00:00,100181,LARKIN COMMUNITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100181.jsonl,2,,,0.02
2026-09-03T03:12:40.147096+00:00,100183,CORAL GABLES HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100183.jsonl,,,,0.01
2026-09-03T03:12:40.147096+00:00,100187,PALMETTO GENERAL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100187.jsonl,,,,0.01
2026-09-03T03:12:40.147096+00:00,100189,HCA FLORIDA NORTHWEST HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100189.jsonl,2,,,0.09
2026-09-03T03:12:40.147096+00:00,100191,HCA FLORIDA TRINITY HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100191.jsonl,2,,,0.09
2026-09-03T03:12:40.147096+00:00,100200,BROWARD HEALTH IMPERIAL POINT,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100200.jsonl,,,,0.02
2026-09-03T03:12:40.147096+00:00,100204,HCA FLORIDA NORTH FLORIDA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100204.jsonl,2,,,0.10
2026-09-03T03:12:40.147096+00:00,100206,HCA FLORIDA SOUTH TAMPA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100206.jsonl,2,,,0.09
2026-09-03T03:12:40.147096+00:00,100208,JACKSON SOUTH MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100208.jsonl,,,,0.01
2026-09-03T03:12:40.147096+00:00,100209,HCA FLORIDA KENDALL HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100209.jsonl,2,,,0.09
2026-09-03T03:12:40.147096+00:00,100210,FLORIDA MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\FL\100210.jsonl,,,,0.02
