date,ccn,hospital,status,file_url,records,error_type,error_message,duration
2026-09-03T03:12:40.132756+00:00,230002,TRINITY HEALTH LIVONIA HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230002.jsonl,2,,,0.02
2026-09-03T03:12:40.132756+00:00,230005,PROMEDICA CHARLES AND VIRGINIA HICKMAN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230005.jsonl,,,,0.01
2026-09-03T03:12:40.132756+00:00,230013,PONTIAC GENERAL HOSPITAL,SKIPPED,http://www.pontiacgeneral.com/wp-content/uploads/262512084_pontiac-general-hospital_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230013.jsonl,
2026-09-03T03:12:40.132756+00:00,230015,THREE RIVERS HEALTH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230015.jsonl,1,,,0.05
2026-09-03T03:12:40.132756+00:00,230017,BRONSON METHODIST HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230017.jsonl,2,,,0.07
2026-09-03T03:12:40.132756+00:00,230019,HENRY FORD PROVIDENCE NOVI HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230019.jsonl,,,,0.04
2026-09-03T03:12:40.132756+00:00,230019,HENRY FORD PROVIDENCE SOUTHFIELD HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230019.jsonl,,,,0.04
2026-09-03T03:12:40.132756+00:00,230020,COREWELL HEALTH DEARBORN HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230020.jsonl,,,,0.02
2026-09-03T03:12:40.132756+00:00,230021,COREWELL HEALTH ST. JOSEPH HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230021.jsonl,,,,0.01
2026-09-03T03:12:40.132756+00:00,230022,INSIGHT HOSPITAL & MEDICAL CENTER COLDWATER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230022.jsonl,,,,0.04
2026-09-03T03:12:40.132756+00:00,230024,DMC SINAI-GRACE HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230024.jsonl,2,,,0.09
2026-09-03T03:12:40.132756+00:00,230029,TRINITY HEALTH OAKLAND HOSPITAL,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230029.jsonl,2,,,0.03
2026-09-03T03:12:40.132756+00:00,230030,MYMICHIGAN MEDICAL CENTER ALMA,SKIPPED,https://www.mymichigan.org/app/files/public/a7d06688-3093-4e8f-a162-194e082d5bcf/381437919_mymichigan-medical-center-alma_standardcharges.csv,,,No existing archive at C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230030.jsonl,
2026-09-03T03:12:40.132756+00:00,230031,LAKE HURON MEDICAL CENTER,SUCCESS,C:\Users\bombt\Documents\Code\Hospital_Pricing\data\MI\230031.jsonl,,,,0.03
